,taxon.name,taxon.id,taxon.rank,count,taxon.observations_count,taxon.ancestor_ids
66,Amanita ceciliae,154366,species,31,284,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785522, 118249, 1149497, 48419, 1142599, 906594, 154366]"
67,Stereum subtomentosum,155081,species,31,1949,"[48460, 47170, 47169, 492000, 50814, 48341, 55502, 55503, 155081]"
68,Hemileccinum impolitum,542661,species,31,344,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 542659, 542661]"
69,Suillellus queletii,544542,species,31,278,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 446872, 544542]"
70,Lepista personata,565105,species,31,926,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 787526, 1155395, 1128513, 55591, 565105]"
71,Morchella steppicola,710294,species,31,257,"[48460, 47170, 48250, 372740, 152032, 48717, 56831, 56830, 1062674, 710294]"
72,Meripilus giganteus,157989,species,30,3883,"[48460, 47170, 47169, 492000, 50814, 47380, 53715, 125757, 157989]"
73,Ganoderma applanatum,48473,species,29,23888,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 48475, 559675, 1129535, 48473]"
74,Boletus edulis,48701,species,29,15257,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 1135850, 48703, 48701]"
75,Butyriboletus regius,372725,species,29,98,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 372727, 372725]"
76,Neofavolus alveolaris,496176,species,29,8548,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 496175, 496176]"
77,Suillellus luridus,824777,species,29,2947,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 446872, 824777]"
78,Xerocomus subtomentosus,485374,species,28,4305,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 702670, 118154, 485374]"
79,Fomitopsis betulina,775410,species,28,25400,"[48460, 47170, 47169, 492000, 50814, 47380, 55974, 118056, 775410]"
80,Mycetinis alliaceus,1134741,species,28,987,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 64013, 203670, 1134741]"
81,Leccinum aurantiacum,124085,species,27,4696,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 1199038, 54203, 1397469, 124085]"
82,Leccinellum crocipodium,363586,species,27,191,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 1199038, 332503, 1227179, 363586]"
83,Xerocomellus chrysenteron,438013,species,27,6775,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 1135850, 416305, 438013]"
84,Rubroboletus rhodoxanthus,824010,species,27,106,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 544553, 824010]"
85,Oudemansiella mucida,55964,species,26,4206,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 55931, 55965, 373969, 55964]"
86,Tricholomopsis rutilans,63387,species,26,3713,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 905657, 1128529, 63392, 63387]"
87,Hypholoma lateritium,130203,species,26,6643,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 48768, 48769, 130203]"
88,Lacrymaria lacrymabunda,130934,species,26,7136,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 56310, 130944, 130934]"
89,Cyclocybe cylindracea,578456,species,26,524,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 578451, 578456]"
90,Candolleomyces candolleanus,1179954,species,26,16377,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 56310, 1179953, 1179954]"
91,Tubaria furfuracea,55573,species,25,11963,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 416523, 55575, 1462139, 55573]"
92,Laccaria amethystina,55899,species,25,7120,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 351075, 54895, 55899]"
93,Hygrophorus eburneus,67331,species,25,2942,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 1128302, 51870, 1135223, 1135224, 63108, 1135951, 1135953, 1135956, 67331]"
94,Cyathus striatus,120242,species,25,7988,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 121439, 68301, 1455339, 120242]"
95,Hapalopilus rutilans,130909,species,25,1310,"[48460, 47170, 47169, 492000, 50814, 47380, 118075, 129039, 130909]"
96,Lactifluus piperatus,351321,species,25,3400,"[48460, 47170, 47169, 492000, 50814, 48341, 48340, 353211, 1105690, 1105817, 351321]"
97,Sarcoscypha coccinea,49134,species,24,1994,"[48460, 47170, 48250, 372740, 152032, 48717, 49135, 49136, 49134]"
98,Chlorophyllum rhacodes,56535,species,24,5855,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 47394, 56536, 1413392, 56535]"
99,Lactarius deliciosus,155197,species,24,6486,"[48460, 47170, 47169, 492000, 50814, 48341, 48340, 54597, 1174534, 1303228, 155197]"
100,Gymnopus fusipes,157994,species,24,680,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 64013, 55293, 1134708, 157994]"
101,Ganoderma resinaceum,328280,species,24,998,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 48475, 1106981, 328280]"
102,Morchella semilibera,1062775,species,24,494,"[48460, 47170, 48250, 372740, 152032, 48717, 56831, 56830, 1062676, 1062775]"
103,Lactifluus volemus,503241,species,23,3295,"[48460, 47170, 47169, 492000, 50814, 48341, 48340, 353211, 1105690, 1105785, 503241]"
104,Picipes badius,510852,species,23,6678,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 510853, 510852]"
105,Tremella mesenterica,48529,species,22,26138,"[48460, 47170, 47169, 492000, 83737, 48530, 48531, 48532, 48529]"
106,Cortinarius trivialis,54631,species,22,520,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 48705, 48704, 1433695, 374949, 54631]"
107,Stropharia aeruginosa,55583,species,22,2243,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 48768, 53283, 1445305, 55583]"
108,Paxillus involutus,55941,species,22,10145,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 1432578, 55942, 55943, 1397925, 55941]"
109,Coprinellus disseminatus,56314,species,22,20268,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 56310, 56315, 1179708, 56314]"
110,Marasmius rotula,63100,species,22,5335,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 49545, 54067, 1366791, 63100]"
111,Calocera viscosa,63405,species,22,8942,"[48460, 47170, 47169, 492000, 53277, 53278, 53279, 63408, 63405]"
112,Tricholoma terreum,341797,species,22,5000,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 787526, 47498, 62484, 1444969, 1366847, 341797]"
113,Lentinus arcularius,1395761,species,22,6193,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 68311, 1468217, 1395761]"
114,Pseudohydnum gelatinosum,54164,species,21,7540,"[48460, 47170, 47169, 492000, 50814, 50815, 54165, 54164]"
115,Xylaria hypoxylon,55267,species,21,14458,"[48460, 47170, 48250, 372740, 53539, 792674, 48805, 48806, 55268, 1366853, 55267]"
116,Helvella acetabulum,57462,species,21,1435,"[48460, 47170, 48250, 372740, 152032, 48717, 49205, 49206, 57462]"
117,Mutinus caninus,63580,species,21,580,"[48460, 47170, 47169, 492000, 50814, 891028, 48708, 51136, 63582, 63580]"
118,Rhodocollybia butyracea,118166,species,21,4940,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 64013, 118165, 118166]"
119,Galerina marginata,154735,species,21,11173,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 416512, 118297, 154735]"
120,Leucoagaricus leucothites,179125,species,21,8966,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 47394, 119985, 179125]"
121,Lepista nuda,351380,species,21,16134,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 787526, 1155395, 1128513, 55591, 351380]"
122,Mycena rosea,512746,species,21,2258,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 55920, 55922, 1101287, 1370940, 512746]"
123,Apioperdon pyriforme,972793,species,21,26803,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 48445, 972792, 972793]"
124,Trametes cinnabarina,974663,species,21,9931,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 47378, 974663]"
125,Auriscalpium vulgare,55175,species,20,2464,"[48460, 47170, 47169, 492000, 50814, 48341, 55176, 55177, 55175]"
126,Agaricus campestris,143563,species,20,11524,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 47394, 49548, 824801, 844123, 143563]"
127,Russula aurea,360306,species,20,269,"[48460, 47170, 47169, 492000, 50814, 48341, 48340, 48339, 1167950, 1396319, 360306]"
128,Infundibulicybe geotropa,451026,species,20,1467,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 787526, 1180517, 451027, 451026]"
129,Mycena crocata,566411,species,20,389,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 55920, 55922, 566411]"
130,Neoboletus xanthopus,796595,species,20,117,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 553906, 796595]"
131,Cantharellus cibarius,47347,species,19,6082,"[48460, 47170, 47169, 492000, 50814, 47350, 48423, 47348, 1374657, 47347]"
132,Calocera cornea,118027,species,19,6936,"[48460, 47170, 47169, 492000, 53277, 53278, 53279, 63408, 118027]"
133,Agaricus xanthodermus,118394,species,19,6187,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 47394, 49548, 824804, 793870, 118394]"
134,Verpa bohemica,126131,species,19,2003,"[48460, 47170, 48250, 372740, 152032, 48717, 56831, 118001, 126131]"
135,Craterellus cinereus,350509,species,19,143,"[48460, 47170, 47169, 492000, 50814, 47350, 48423, 48611, 350509]"
136,Russula vesca,352311,species,19,1164,"[48460, 47170, 47169, 492000, 50814, 48341, 48340, 48339, 1167952, 1396254, 352311]"
137,Leccinum duriusculum,363590,species,19,306,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 1199038, 54203, 363590]"
138,Leccinellum pseudoscabrum,824011,species,19,363,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 1199038, 332503, 1227178, 824011]"
139,Coprinopsis melanthina,825086,species,19,102,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 56310, 48522, 1180074, 825086]"
140,Hygrocybe conica,51872,species,18,8160,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 1128302, 51870, 1135226, 1135227, 51871, 1135480, 1101271, 1135481, 1369384, 51872]"
141,Crucibulum laeve,120030,species,18,7073,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 121439, 120031, 120030]"
142,Pleurotus pulmonarius,136399,species,18,16926,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 905657, 48495, 48496, 1196165, 136399]"
143,Clitocybe odora,334677,species,18,2125,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 787526, 1155395, 1128513, 54625, 334677]"
144,Russula lepida,352293,species,18,129,"[48460, 47170, 47169, 492000, 50814, 48341, 48340, 48339, 1167950, 1483299, 1396170, 352293]"
145,Protoparmeliopsis muralis,632126,species,18,9263,"[48460, 47170, 48250, 372740, 54743, 952186, 48327, 50253, 532707, 632126]"
146,Astraeus hygrometricus,55271,species,17,3614,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48775, 48774, 55271]"
147,Morchella esculenta,58682,species,17,1767,"[48460, 47170, 48250, 372740, 152032, 48717, 56831, 56830, 1062674, 58682]"
148,Volvariella bombycina,128074,species,17,3267,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785522, 48420, 63421, 128074]"
149,Amanita eliae,481223,species,17,41,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785522, 118249, 1149497, 48419, 1142599, 954920, 1144758, 481223]"
150,Cuphophyllus virgineus,486380,species,17,3530,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 1128302, 51870, 1247546, 361640, 1135350, 486380]"
151,Panus lecomtei,536019,species,17,3888,"[48460, 47170, 47169, 492000, 50814, 47380, 974750, 59250, 536019]"
152,Xylaria polymorpha,58698,species,16,12432,"[48460, 47170, 48250, 372740, 53539, 792674, 48805, 48806, 55268, 58698]"
153,Chondrostereum purpureum,118036,species,16,5732,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 118042, 118043, 118036]"
154,Crepidotus mollis,118283,species,16,5328,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 416506, 118288, 118283]"
155,Amanita franchetii,118396,species,16,166,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785522, 118249, 1149497, 48419, 1142598, 932781, 118396]"
156,Gyroporus castaneus,125688,species,16,3227,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 474345, 125691, 125692, 125688]"
157,Paralepista flaccida,841424,species,16,3121,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 787526, 806589, 841424]"
158,Infundibulicybe gibba,921916,species,16,8090,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 787526, 1180517, 451027, 921916]"
159,Suillus luteus,53488,species,15,4227,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 1432580, 53489, 53490, 53488]"
160,Lepiota cristata,58694,species,15,5091,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 1181093, 58695, 58694]"
161,Agaricus bitorquis,58696,species,15,2750,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 47394, 49548, 824804, 824808, 1444566, 58696]"
162,Pholiota aurivella,124705,species,15,8108,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 48768, 64076, 1145086, 1145088, 124705]"
163,Gymnopus dryophilus,130915,species,15,9754,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 64013, 55293, 1134711, 130915]"
164,Lactarius chrysorrheus,194433,species,15,768,"[48460, 47170, 47169, 492000, 50814, 48341, 48340, 54597, 1046273, 194433]"
165,Exidia nigricans,350760,species,15,2116,"[48460, 47170, 47169, 492000, 50814, 50815, 50816, 55569, 350760]"
166,Hygrophorus arbustivus,351046,species,15,52,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 1128302, 51870, 1135223, 1135224, 63108, 1135951, 1135953, 1135957, 351046]"
167,Hericium cirrhatum,513329,species,15,268,"[48460, 47170, 47169, 492000, 50814, 48341, 49159, 49160, 513329]"
168,Pluteus leoninus,564369,species,15,555,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785522, 48420, 60783, 1366820, 1366817, 564369]"
169,Neolentinus degener,879919,species,15,290,"[48460, 47170, 47169, 492000, 50814, 67339, 67340, 311293, 879919]"
170,Mycena haematopus,63460,species,14,8541,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 55920, 55922, 63460]"
171,Hygrophoropsis aurantiaca,63538,species,14,10302,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 63542, 63543, 63538]"
172,Trametes trogii,332687,species,14,776,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 47378, 332687]"
173,Puccinia malvacearum,343592,species,14,2871,"[48460, 47170, 47169, 416490, 69967, 69968, 1151342, 84768, 84769, 343592]"
174,Entoloma sinuatum,510199,species,14,147,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 787526, 47166, 47165, 1366583, 1416477, 510199]"
175,Imperator luteocupreus,824012,species,14,53,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 824667, 824012]"
176,Saproamanita vittadinii,938922,species,14,490,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785522, 118249, 1149497, 922853, 938922]"
177,Amanita excelsa,119999,species,13,1241,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785522, 118249, 1149497, 48419, 1142598, 932781, 119999]"
178,Lycoperdon utriforme,180365,species,13,2100,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 48445, 48444, 180365]"
179,Lycoperdon echinatum,343169,species,13,1654,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 48445, 48444, 343169]"
180,Gliophorus psittacinus,348711,species,13,4039,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 1128302, 51870, 1135226, 1135229, 143385, 1134262, 348711]"
181,Caloboletus calopus,701434,species,13,764,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 415479, 701434]"
182,Hortiboletus rubellus,833474,species,13,8258,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 544547, 833474]"
183,Lentinus brumalis,947949,species,13,2060,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 68311, 1468217, 947949]"
184,Collybiopsis peronata,1275360,species,13,1385,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 64013, 374622, 1275360]"
185,Helvella crispa,49208,species,12,5067,"[48460, 47170, 48250, 372740, 152032, 48717, 49205, 49206, 49208]"
186,Mycena acicula,63426,species,12,2279,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 55920, 55922, 63426]"
187,Stropharia caerulea,118196,species,12,749,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 48768, 53283, 1445305, 118196]"
188,Gymnopus foetidus,120858,species,12,212,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 64013, 55293, 1134710, 120858]"
189,Inonotus hispidus,194483,species,12,2956,"[48460, 47170, 47169, 492000, 50814, 57519, 57518, 57527, 194483]"
190,Hygrophorus chrysodon,344545,species,12,795,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 1128302, 51870, 1135223, 1135224, 63108, 1096426, 1135973, 344545]"
191,Lactarius salmonicolor,351304,species,12,386,"[48460, 47170, 47169, 492000, 50814, 48341, 48340, 54597, 1174534, 1303228, 351304]"
192,Xylaria longipes,352912,species,12,1446,"[48460, 47170, 48250, 372740, 53539, 792674, 48805, 48806, 55268, 352912]"
193,Schizophyllum amplum,451041,species,12,297,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 905658, 54574, 54575, 451041]"
194,Hygrophorus marzuolus,497251,species,12,147,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 1128302, 51870, 1135223, 1135224, 63108, 1096426, 1135972, 497251]"
195,Caloboletus radicans,507493,species,12,631,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 415479, 507493]"
