,taxon.name,taxon.id,taxon.rank,count,taxon.observations_count,taxon.ancestor_ids
27,Suillus granulatus,179065,species,84,6333,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 1432580, 53489, 53490, 179065]"
28,Candolleomyces candolleanus,1179954,species,82,16377,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 56310, 1179953, 1179954]"
29,Bjerkandera adusta,118038,species,79,10323,"[48460, 47170, 47169, 492000, 50814, 47380, 118075, 118047, 118038]"
30,Lentinus tigrinus,351365,species,78,3153,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 68311, 1203427, 351365]"
31,Mycena renati,464807,species,78,553,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 55920, 55922, 464807]"
32,Trichaptum biforme,125705,species,77,22729,"[48460, 47170, 47169, 492000, 50814, 57519, 57518, 118119, 125705]"
33,Pleurotus ostreatus,48494,species,76,22862,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 905657, 48495, 48496, 1196165, 48494]"
34,Xerocomellus chrysenteron,438013,species,76,6775,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 1135850, 416305, 438013]"
35,Clitocybe nebularis,63255,species,74,8904,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 787526, 1155395, 1128513, 54625, 63255]"
36,Stereum subtomentosum,155081,species,74,1949,"[48460, 47170, 47169, 492000, 50814, 48341, 55502, 55503, 155081]"
37,Xanthoria parietina,55576,species,73,48661,"[48460, 47170, 48250, 372740, 54743, 952186, 54755, 54756, 1232042, 54757, 55576]"
38,Tubaria furfuracea,55573,species,71,11963,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 416523, 55575, 1462139, 55573]"
39,Armillaria mellea,55950,species,70,22078,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 55931, 55930, 55950]"
40,Boletus aereus,333772,species,70,572,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 1135850, 48703, 333772]"
41,Phellinus pomaceus,410639,species,70,1498,"[48460, 47170, 47169, 492000, 50814, 57519, 57518, 118087, 410639]"
42,Cyclocybe aegerita,874974,species,68,1500,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 578451, 874974]"
43,Bolbitius titubans,55474,species,67,14456,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 55472, 55473, 55474]"
44,Coprinopsis picacea,63224,species,64,5456,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 56310, 48522, 1180067, 63224]"
45,Xerocomus subtomentosus,485374,species,64,4305,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 702670, 118154, 485374]"
46,Russula virescens,125720,species,61,1417,"[48460, 47170, 47169, 492000, 50814, 48341, 48340, 48339, 1167952, 1370587, 125720]"
47,Ganoderma applanatum,48473,species,59,23888,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 48475, 559675, 1129535, 48473]"
48,Laccaria laccata,63236,species,59,16293,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 351075, 54895, 63236]"
49,Macrolepiota mastoidea,351447,species,59,793,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 47394, 63402, 1398105, 351447]"
50,Megacollybia platyphylla,1097548,species,58,1204,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 416511, 63285, 1097548]"
51,Mycetinis alliaceus,1134741,species,58,987,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 64013, 203670, 1134741]"
52,Phallus impudicus,54594,species,57,6296,"[48460, 47170, 47169, 492000, 50814, 891028, 48708, 51136, 54593, 54594]"
53,Daedaleopsis confragosa,124102,species,57,12014,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 124103, 124102]"
54,Mycena pura,63473,species,56,4501,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 55920, 55922, 1101287, 1370907, 63473]"
55,Amanita caesarea,204588,species,54,797,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785522, 118249, 1149497, 48419, 1142599, 906595, 204588]"
56,Ganoderma resinaceum,328280,species,54,998,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 48475, 1106981, 328280]"
57,Lepista nuda,351380,species,53,16134,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 787526, 1155395, 1128513, 55591, 351380]"
58,Lactarius deliciosus,155197,species,51,6486,"[48460, 47170, 47169, 492000, 50814, 48341, 48340, 54597, 1174534, 1303228, 155197]"
59,Volvopluteus gloiocephalus,348720,species,51,12590,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785522, 48420, 379669, 348720]"
60,Lactifluus piperatus,351321,species,51,3400,"[48460, 47170, 47169, 492000, 50814, 48341, 48340, 353211, 1105690, 1105817, 351321]"
61,Exidia glandulosa,55568,species,50,8338,"[48460, 47170, 47169, 492000, 50814, 50815, 50816, 55569, 55568]"
62,Lepista sordida,332507,species,50,1478,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 787526, 1155395, 1128513, 55591, 332507]"
63,Daedaleopsis tricolor,940416,species,50,1349,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 124103, 940416]"
64,Suillellus queletii,544542,species,49,278,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 446872, 544542]"
65,Cerioporus squamosus,940028,species,48,44860,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 895268, 940028]"
66,Hericium coralloides,49162,species,47,7973,"[48460, 47170, 47169, 492000, 50814, 48341, 49159, 49160, 49162]"
67,Rhodocollybia butyracea,118166,species,47,4940,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 64013, 118165, 118166]"
68,Artomyces pyxidatus,334704,species,47,14639,"[48460, 47170, 47169, 492000, 50814, 48341, 55176, 136343, 334704]"
69,Hemileccinum impolitum,542661,species,47,344,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 542659, 542661]"
70,Suillellus luridus,824777,species,47,2947,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 446872, 824777]"
71,Hypholoma lateritium,130203,species,46,6643,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 48768, 48769, 130203]"
72,Apioperdon pyriforme,972793,species,46,26803,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 48445, 972792, 972793]"
73,Panellus stipticus,68309,species,45,8941,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 55920, 68308, 68309]"
74,Fistulina hepatica,123897,species,45,5519,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 905658, 54574, 123895, 123897]"
75,Merulius tremellosus,179113,species,45,10832,"[48460, 47170, 47169, 492000, 50814, 47380, 118046, 179117, 179113]"
76,Chroogomphus rutilus,194275,species,45,882,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48426, 48640, 1447333, 1447337, 194275]"
77,Russula vesca,352311,species,44,1164,"[48460, 47170, 47169, 492000, 50814, 48341, 48340, 48339, 1167952, 1396254, 352311]"
78,Calocybe gambosa,450829,species,44,1688,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 787526, 118247, 358134, 450829]"
79,Lentinus arcularius,1395761,species,44,6193,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 68311, 1468217, 1395761]"
80,Sarcoscypha coccinea,49134,species,43,1994,"[48460, 47170, 48250, 372740, 152032, 48717, 49135, 49136, 49134]"
81,Infundibulicybe gibba,921916,species,43,8090,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 787526, 1180517, 451027, 921916]"
82,Marasmius rotula,63100,species,42,5335,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 49545, 54067, 1366791, 63100]"
83,Crepidotus mollis,118283,species,42,5328,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 416506, 118288, 118283]"
84,Boletus edulis,48701,species,41,15257,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 1135850, 48703, 48701]"
85,Laccaria amethystina,55899,species,41,7120,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 351075, 54895, 55899]"
86,Daedalea quercina,55973,species,41,6292,"[48460, 47170, 47169, 492000, 50814, 47380, 55974, 55975, 55973]"
87,Agaricus campestris,143563,species,41,11524,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 47394, 49548, 824801, 844123, 143563]"
88,Lactifluus volemus,503241,species,41,3295,"[48460, 47170, 47169, 492000, 50814, 48341, 48340, 353211, 1105690, 1105785, 503241]"
89,Amanita phalloides,52135,species,40,5739,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785522, 118249, 1149497, 48419, 1142598, 926048, 52135]"
90,Paxillus involutus,55941,species,40,10145,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 1432578, 55942, 55943, 1397925, 55941]"
91,Chlorophyllum rhacodes,56535,species,40,5855,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 47394, 56536, 1413392, 56535]"
92,Galerina marginata,154735,species,40,11173,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 416512, 118297, 154735]"
93,Leccinellum crocipodium,363586,species,40,191,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 1199038, 332503, 1227179, 363586]"
94,Cyclocybe cylindracea,578456,species,40,524,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 578451, 578456]"
95,Craterellus cornucopioides,48607,species,39,1631,"[48460, 47170, 47169, 492000, 50814, 47350, 48423, 48611, 1398876, 48607]"
96,Amanita citrina,63271,species,39,6494,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785522, 118249, 1149497, 48419, 1142598, 932781, 1144777, 63271]"
97,Hygrophorus eburneus,67331,species,39,2942,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 1128302, 51870, 1135223, 1135224, 63108, 1135951, 1135953, 1135956, 67331]"
98,Neofavolus alveolaris,496176,species,39,8548,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 496175, 496176]"
99,Mycena rosea,512746,species,39,2258,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 55920, 55922, 1101287, 1370940, 512746]"
100,Panus lecomtei,536019,species,39,3888,"[48460, 47170, 47169, 492000, 50814, 47380, 974750, 59250, 536019]"
101,Gymnopus dryophilus,130915,species,38,9754,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 64013, 55293, 1134711, 130915]"
102,Russula foetens,352283,species,38,1400,"[48460, 47170, 47169, 492000, 50814, 48341, 48340, 48339, 1167952, 1396198, 1366834, 352283]"
103,Lacrymaria lacrymabunda,130934,species,37,7136,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 56310, 130944, 130934]"
104,Lepista personata,565105,species,37,926,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 787526, 1155395, 1128513, 55591, 565105]"
105,Oudemansiella mucida,55964,species,36,4206,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 55931, 55965, 373969, 55964]"
106,Calocera viscosa,63405,species,36,8942,"[48460, 47170, 47169, 492000, 53277, 53278, 53279, 63408, 63405]"
107,Pleurotus pulmonarius,136399,species,36,16926,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 905657, 48495, 48496, 1196165, 136399]"
108,Psilocybe serbica,518938,species,36,100,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 416512, 54026, 518938]"
109,Agrocybe praecox,118391,species,35,7486,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 416512, 118395, 1468920, 118391]"
110,Agaricus xanthodermus,118394,species,35,6187,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 47394, 49548, 824804, 793870, 118394]"
111,Leccinum aurantiacum,124085,species,35,4696,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 1199038, 54203, 1397469, 124085]"
112,Meripilus giganteus,157989,species,35,3883,"[48460, 47170, 47169, 492000, 50814, 47380, 53715, 125757, 157989]"
113,Cyathus striatus,120242,species,34,7988,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 121439, 68301, 1455339, 120242]"
114,Leucoagaricus leucothites,179125,species,34,8966,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 47394, 119985, 179125]"
115,Cerrena unicolor,194476,species,34,14151,"[48460, 47170, 47169, 492000, 50814, 47380, 974712, 194479, 194476]"
116,Russula lepida,352293,species,34,129,"[48460, 47170, 47169, 492000, 50814, 48341, 48340, 48339, 1167950, 1483299, 1396170, 352293]"
117,Morchella steppicola,710294,species,34,257,"[48460, 47170, 48250, 372740, 152032, 48717, 56831, 56830, 1062674, 710294]"
118,Coprinellus disseminatus,56314,species,33,20268,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 56310, 56315, 1179708, 56314]"
119,Lepiota cristata,58694,species,33,5091,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 1181093, 58695, 58694]"
120,Agaricus bitorquis,58696,species,33,2750,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 47394, 49548, 824804, 824808, 1444566, 58696]"
121,Clitopilus prunulus,64708,species,33,3367,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 787526, 47166, 64709, 1428793, 64708]"
122,Cantharellus cibarius,47347,species,32,6082,"[48460, 47170, 47169, 492000, 50814, 47350, 48423, 47348, 1374657, 47347]"
123,Trametes ochracea,118111,species,32,9344,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 47378, 1153556, 118111]"
124,Hapalopilus rutilans,130909,species,32,1310,"[48460, 47170, 47169, 492000, 50814, 47380, 118075, 129039, 130909]"
125,Amanita ceciliae,154366,species,32,284,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785522, 118249, 1149497, 48419, 1142599, 906594, 154366]"
126,Gymnopus fusipes,157994,species,32,680,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 64013, 55293, 1134708, 157994]"
127,Infundibulicybe geotropa,451026,species,32,1467,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 787526, 1180517, 451027, 451026]"
128,Xylaria polymorpha,58698,species,31,12432,"[48460, 47170, 48250, 372740, 53539, 792674, 48805, 48806, 55268, 58698]"
129,Mycena galericulata,63446,species,31,15115,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 55920, 55922, 63446]"
130,Trametes trogii,332687,species,31,776,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 47378, 332687]"
131,Butyriboletus regius,372725,species,31,98,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 372727, 372725]"
132,Picipes badius,510852,species,31,6678,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 510853, 510852]"
133,Leccinellum pseudoscabrum,824011,species,31,363,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 1199038, 332503, 1227178, 824011]"
134,Coprinopsis melanthina,825086,species,31,102,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 56310, 48522, 1180074, 825086]"
135,Trametes cinnabarina,974663,species,31,9931,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 47378, 974663]"
136,Stropharia aeruginosa,55583,species,30,2243,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 48768, 53283, 1445305, 55583]"
137,Tricholomopsis rutilans,63387,species,30,3713,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 905657, 1128529, 63392, 63387]"
138,Irpex lacteus,130910,species,30,10422,"[48460, 47170, 47169, 492000, 50814, 47380, 964622, 130927, 130910]"
139,Pseudohydnum gelatinosum,54164,species,29,7540,"[48460, 47170, 47169, 492000, 50814, 50815, 54165, 54164]"
140,Armillaria gallica,118401,species,29,3928,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 55931, 55930, 118401]"
141,Lycoperdon utriforme,180365,species,29,2100,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 48445, 48444, 180365]"
142,Clitocybe odora,334677,species,29,2125,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 787526, 1155395, 1128513, 54625, 334677]"
143,Pluteus petasatus,347897,species,29,4385,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785522, 48420, 60783, 1366821, 347897]"
144,Mycena crocata,566411,species,29,389,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 55920, 55922, 566411]"
145,Caloboletus calopus,701434,species,29,764,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 415479, 701434]"
146,Xylaria hypoxylon,55267,species,28,14458,"[48460, 47170, 48250, 372740, 53539, 792674, 48805, 48806, 55268, 1366853, 55267]"
147,Mycena haematopus,63460,species,28,8541,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 55920, 55922, 63460]"
148,Psathyrella piluliformis,118273,species,28,4860,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 56310, 67745, 1179771, 118273]"
149,Tricholoma terreum,341797,species,28,5000,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 787526, 47498, 62484, 1444969, 1366847, 341797]"
150,Exidia nigricans,350760,species,28,2116,"[48460, 47170, 47169, 492000, 50814, 50815, 50816, 55569, 350760]"
151,Leccinum duriusculum,363590,species,28,306,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 1199038, 54203, 363590]"
152,Fomitopsis betulina,775410,species,28,25400,"[48460, 47170, 47169, 492000, 50814, 47380, 55974, 118056, 775410]"
153,Rubroboletus rhodoxanthus,824010,species,28,106,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 544553, 824010]"
154,Amanita vaginata,55482,species,27,8018,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785522, 118249, 1149497, 48419, 1142599, 906594, 55482]"
155,Gymnopilus penetrans,194304,species,27,2277,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 416512, 83198, 194304]"
156,Paralepista flaccida,841424,species,27,3121,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 787526, 806589, 841424]"
157,Morchella semilibera,1062775,species,27,494,"[48460, 47170, 48250, 372740, 152032, 48717, 56831, 56830, 1062676, 1062775]"
158,Helvella acetabulum,57462,species,26,1435,"[48460, 47170, 48250, 372740, 152032, 48717, 49205, 49206, 57462]"
159,Crepidotus applanatus,350514,species,26,5769,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 416506, 118288, 350514]"
160,Collybiopsis peronata,1275360,species,26,1385,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 64013, 374622, 1275360]"
161,Tremella mesenterica,48529,species,25,26138,"[48460, 47170, 47169, 492000, 83737, 48530, 48531, 48532, 48529]"
162,Calocera cornea,118027,species,25,6936,"[48460, 47170, 47169, 492000, 53277, 53278, 53279, 63408, 118027]"
163,Stropharia caerulea,118196,species,25,749,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 48768, 53283, 1445305, 118196]"
164,Pholiota aurivella,124705,species,25,8108,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 48768, 64076, 1145086, 1145088, 124705]"
165,Russula heterophylla,203806,species,25,137,"[48460, 47170, 47169, 492000, 50814, 48341, 48340, 48339, 1167952, 1396254, 203806]"
166,Protoparmeliopsis muralis,632126,species,25,9263,"[48460, 47170, 48250, 372740, 54743, 952186, 48327, 50253, 532707, 632126]"
167,Neoboletus xanthopus,796595,species,25,117,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 553906, 796595]"
168,Gymnopus foetidus,120858,species,24,212,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 64013, 55293, 1134710, 120858]"
169,Lactarius chrysorrheus,194433,species,24,768,"[48460, 47170, 47169, 492000, 50814, 48341, 48340, 54597, 1046273, 194433]"
170,Lepiota clypeolaria,351371,species,24,1080,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 1181093, 58695, 351371]"
171,Xerocomellus porosporus,474202,species,24,175,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 1135850, 416305, 474202]"
172,Desarmillaria tabescens,895035,species,24,1379,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 55931, 895036, 895035]"
173,Hydnum repandum,48641,species,23,2283,"[48460, 47170, 47169, 492000, 50814, 47350, 48423, 48422, 969899, 969903, 48641]"
174,Amanita excelsa,119999,species,23,1241,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785522, 118249, 1149497, 48419, 1142598, 932781, 119999]"
175,Crucibulum laeve,120030,species,23,7073,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 121439, 120031, 120030]"
176,Gloeoporus dichrous,202418,species,23,3821,"[48460, 47170, 47169, 492000, 50814, 47380, 964622, 202427, 202418]"
177,Russula aurea,360306,species,23,269,"[48460, 47170, 47169, 492000, 50814, 48341, 48340, 48339, 1167950, 1396319, 360306]"
178,Coprinopsis atramentaria,48521,species,22,13743,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 56310, 48522, 1180054, 48521]"
179,Hygrocybe conica,51872,species,22,8160,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 1128302, 51870, 1135226, 1135227, 51871, 1135480, 1101271, 1135481, 1369384, 51872]"
180,Cortinarius trivialis,54631,species,22,520,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 48705, 48704, 1433695, 374949, 54631]"
181,Morchella esculenta,58682,species,22,1767,"[48460, 47170, 48250, 372740, 152032, 48717, 56831, 56830, 1062674, 58682]"
182,Hygrophoropsis aurantiaca,63538,species,22,10302,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 63542, 63543, 63538]"
183,Chondrostereum purpureum,118036,species,22,5732,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 118042, 118043, 118036]"
184,Lentinellus ursinus,118231,species,22,2463,"[48460, 47170, 47169, 492000, 50814, 48341, 55176, 118238, 118231]"
185,Phellinus igniarius,125136,species,22,5750,"[48460, 47170, 47169, 492000, 50814, 57519, 57518, 118087, 125136]"
186,Amanita eliae,481223,species,22,41,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785522, 118249, 1149497, 48419, 1142599, 954920, 1144758, 481223]"
187,Auriscalpium vulgare,55175,species,21,2464,"[48460, 47170, 47169, 492000, 50814, 48341, 55176, 55177, 55175]"
188,Mutinus caninus,63580,species,21,580,"[48460, 47170, 47169, 492000, 50814, 891028, 48708, 51136, 63582, 63580]"
189,Steccherinum ochraceum,118096,species,21,3464,"[48460, 47170, 47169, 492000, 50814, 47380, 974717, 118097, 118096]"
190,Volvariella bombycina,128074,species,21,3267,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785522, 48420, 63421, 128074]"
191,Xylaria longipes,352912,species,21,1446,"[48460, 47170, 48250, 372740, 53539, 792674, 48805, 48806, 55268, 352912]"
192,Neoboletus luridiformis,553909,species,21,1867,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 553906, 553909]"
193,Pluteus leoninus,564369,species,21,555,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785522, 48420, 60783, 1366820, 1366817, 564369]"
194,Neolentinus degener,879919,species,21,290,"[48460, 47170, 47169, 492000, 50814, 67339, 67340, 311293, 879919]"
195,Saproamanita vittadinii,938922,species,21,490,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785522, 118249, 1149497, 922853, 938922]"
196,Echinoderma asperum,1280949,species,21,2244,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 1181093, 542909, 1280949]"
