,gbifID,year,taxonID,scientificName,kingdom,phylum,class,order,family,subfamily,genus,subgenus,taxonRank,genericName,vernacularName,continent,country,municipality,locality,decimalLatitude,decimalLongitude,geodeticDatum
535152,4137666682,,504734,Amanita spadicea,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,,Amanita,,species,,,,,,,44.136078,22.14080355,EPSG:4326
28163,3018144318,,350061,Amanita strobiliformis,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,,Amanita,,species,,,,,,,45.798365918,20.1437720172,EPSG:4326
400768,4137740530,,481222,Amanita submembranacea,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,,Amanita,,species,,,,,,,43.5552883333,20.8117116667,EPSG:4326
401955,3858818417,,347859,Amanita subnudipes,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,,Amanita,,species,,,,,,,45.1573024631,19.5267553179,EPSG:4326
402669,3985835907,,55482,Amanita vaginata,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,,Amanita,,species,,,,,,,43.428296,21.3729469722,EPSG:4326
589045,3923233756,,367337,Amanita vaginata alba,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,,Amanita,,variety,,,,,,,45.1589426,19.7107741997,EPSG:4326
342791,1212924185,,,Annulohypoxylon cohaerens,Fungi,,,,,,Annulohypoxylon,,,,,,Serbia,,"Bojanine vode, mountain Suva Planina, near city Nis",,,WGS84
381052,2846012159,,,"Annulohypoxylon cohaerens (Pers.) Y.M. Ju, J.D. Rogers & H.M. Hsieh",Fungi,,,,,,,,,,,,RS,,Mt. Suva Planina,43.3,21.9,WGS84
384688,3455660189,,381249,Anthracobia melaloma,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,,Anthracobia,,species,,,,,,,45.1722652935,19.4894761804,EPSG:4326
344152,441962171,,,Antrodia juniperina (Murrill) Niemelä & Ryvarden,Fungi,,,,,,,,,,,,,,Tikvešne Klisura,44,21,WGS84
335174,1099840685,,,Antrodiella fragrans (A. David & Tortič) A. David & Tortič,Fungi,,,,,,,,,,,,YUG,,Jugoslawien,44,21,WGS84
24654,2619946619,,972793,Apioperdon pyriforme,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,,Apioperdon,,species,,,,,,,45.2635427561,20.4086088796,EPSG:4326
29631,3005086538,,118401,Armillaria gallica,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,,Armillaria,,species,,,,,,,43.9202119722,19.5309699722,EPSG:4326
358219,1807267719,,55950,Armillaria mellea,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,,Armillaria,,species,,,,,,,44.263037,19.897648,EPSG:4326
401789,1677342228,,192381,Armillaria ostoyae,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,,Armillaria,,species,,,,,,,44.3756866389,19.3058490556,EPSG:4326
153611,3346135738,,ASV:bc4136a089f8bc93bf342ae3a80eb233,Armillaria sp. Qp F FG,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,,Armillaria,,,,,,Serbia,,Vojvodina,45.12,19.79,
31932,3005079039,,67343,Arrhenia epichysium,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,,Arrhenia,,species,,,,,,,45.167928,19.844248,EPSG:4326
4246,3416183781,,507487,Arrhenia spathulata,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,,Arrhenia,,species,,,,,,,46.1429596703,19.6393732955,EPSG:4326
604930,3024276894,,120703,"Arthrobotrys Corda, 1839",Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,,,,Genus,,,,Serbia,Južnobački okrug/South Backa District,Beočin,45.219135,19.715023,https://epsg.io/4326
399978,4126965939,,334704,Artomyces pyxidatus,Fungi,Basidiomycota,Agaricomycetes,Russulales,Auriscalpiaceae,,Artomyces,,species,,,,,,,45.1461527778,19.6136805556,EPSG:4326
579323,3947583970,,155165,Ascocoryne cylichnium,Fungi,Ascomycota,Leotiomycetes,Helotiales,Gelatinodiscaceae,,Ascocoryne,,species,,,,,,,43.9170020833,19.4207031167,EPSG:4326
22530,3407898737,,49075,Ascocoryne sarcoides,Fungi,Ascomycota,Leotiomycetes,Helotiales,Gelatinodiscaceae,,Ascocoryne,,species,,,,,,,45.1711202062,19.9091016623,EPSG:4326
342801,1212936383,,,Aspergillus aureolatus,Fungi,,,,,,Aspergillus,,,,,,Serbia,,Beograd,,,WGS84
155027,3348794390,,ASV:003fb65d034eeb2f83062571fefb2aea,Aspergillus flavus,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,,Aspergillus,,,,,,Serbia,,,,,
371518,3347298637,,ASV:740fd3711a8c56dbf4c90a078f6d4870,Aspergillus fumigatus,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,,Aspergillus,,,,,,Serbia,,,,,
387766,4153301156,,ASV:e5169ccd9dd798a00e6cd136a0da3968,Aspergillus parasiticus,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,,Aspergillus,,,,,,Serbia,,,,,
371520,3347448326,,ASV:261a10657c39ac3557d1f572f5d9414b,Aspergillus piperis,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,,Aspergillus,,,,,,Serbia,,,,,
143820,4153297094,,ASV:d57708e2f3c3848b74f96a180ae30a0b,Aspergillus tubingensis,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,,Aspergillus,,,,,,Serbia,,,,,
387611,4153304111,,ASV:68ce7f46be58bb73e05b7e9f63161829,Aspergillus welwitschiae,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,,Aspergillus,,,,,,Serbia,,,,,
589698,1503059144,1916,,Aspicilia cinerea f. virescens Szatala,Fungi,Ascomycota,Lecanoromycetes,Pertusariales,Megasporaceae,,Aspicilia,,Form,,,Europe,Serbia,,Majdan Mt.: above Mitrovica,,,
352642,2465103031,,125378,Asterophora lycoperdoides,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,,Asterophora,,species,,,,,,,44.2743136745,20.5167843625,EPSG:4326
20070,2444992508,,55271,Astraeus hygrometricus,Fungi,Basidiomycota,Agaricomycetes,Boletales,Astraeaceae,,Astraeus,,species,,,,,,,44.2819788318,20.508673387,EPSG:4326
16159,3818374244,,ASV:19f2d5f4a969b83fa158f287a7106f0f,Astraeus macedonicus (nom. inval.),Fungi,Basidiomycota,Agaricomycetes,Boletales,Astraeaceae,,Astraeus,,,,,,Serbia,,,,,
135675,4006740196,,399803,Athelia arachnoidea,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,,Athelia,,species,,,,,,,44.8082229028,20.403339466,EPSG:4326
375360,2028446895,,367880,Aureoboletus gentilis,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,,Aureoboletus,,species,,,,,,,44.2742245225,20.5163812991,EPSG:4326
384990,2563519914,,50813,Auricularia auricula-judae,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariaceae,,Auricularia,,species,,,,,,,44.245485,19.935495,EPSG:4326
352688,3415996883,,332467,Auricularia mesenterica,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariaceae,,Auricularia,,species,,,,,,,45.1777430832,19.6473557151,EPSG:4326
384230,3966649115,,55175,Auriscalpium vulgare,Fungi,Basidiomycota,Agaricomycetes,Russulales,Auriscalpiaceae,,Auriscalpium,,species,,,,,,,45.1360014268,19.6807001811,EPSG:4326
604932,3024288584,,183075,"Bacidia sphaeroides (Dicks.) Zahlbr., 1905",Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae,,Biatora,,Species,,,,Serbia,,"Jugoslawien, W-Serbien: Tara Planina, Crvena stijena bei Rastiste, steile Nordhänge.",,,https://epsg.io/4326
397742,4006640182,,118349,Baeospora myosura,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cyphellaceae,,Baeospora,,species,,,,,,,45.1149043016,19.759975872,EPSG:4326
22479,1802646110,,119969,Battarrea phalloides,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Battarreaceae,,Battarrea,,species,,,,,,,43.315990594,21.9132828712,EPSG:4326
387675,3348208362,,ASV:4355360623bb726577be66b2020e0beb,Bipolaris sorokiniana,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,,Bipolaris,,,,,,Serbia,,,,,
358128,4138277332,,350184,Biscogniauxia nummularia,Fungi,Ascomycota,Sordariomycetes,Xylariales,Graphostromataceae,,Biscogniauxia,,species,,,,,,,43.932324,19.4890939,EPSG:4326
30557,3915255780,,118038,Bjerkandera adusta,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,,Bjerkandera,,species,,,,,,,45.2284794152,19.8508676514,EPSG:4326
599743,4023438941,,http://tun.fi/MX.205478,Bjerkandera adusta (Willd. : Fr.) P. Karst.,Fungi,,,,,,,,species,,,,Serbia,,,,,EPSG:4326
350321,3313375354,,261264,Blastenia crenularia,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,,Blastenia,,Species,,,,Serbia,,,,,
335244,2028364425,1967,135488,Blastenia ferruginea,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,,Blastenia,,Species,,,,Serbia,,"In monte Tornik, secus viam inter Kokin Brod et Titova Uzice",,,
396860,1880498568,,55474,Bolbitius titubans,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,,Bolbitius,,species,,,,,,,45.7715956768,20.1541943662,EPSG:4326
153051,4121091178,,55477,Bolbitius variicolor,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,,Bolbitius,,species,,,,,,,45.238966106,19.8433058336,EPSG:4326
335940,3302514059,,48703,Boletus,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,,Boletus,,genus,,,,,,,44.5296221,20.5268111,EPSG:4326
28378,4011613391,,333772,Boletus aereus,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,,Boletus,,species,,,,,,,44.5296221,20.5268111,EPSG:4326
158118,1928222748,,,Boletus aereus Bull.:Fr.,Fungi,Basidiomycota,,,Boletaceae,,Boletus,,Species,,,Europe,Serbia,,"Nova Varos. Hotel Panorama, ""Yugoslavia""",,,
18340,1802705687,,48701,Boletus edulis,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,,Boletus,,species,,,,,,,43.3034761261,20.816860199,EPSG:4326
402595,3415773103,,335942,Boletus pinophilus,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,,Boletus,,species,,,,,,,44.2925196056,21.5489061806,EPSG:4326
3360,1677342162,,542743,Boletus praestigiator,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,,Boletus,,species,,,,,,,44.3457000555,19.2927337816,EPSG:4326
135631,3859409331,,350216,Boletus reticulatus,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,,Boletus,,species,,,,,,,43.971405,19.2865616667,EPSG:4326
154601,3346928723,,ASV:332bd2586f2e0753957fbd14e13be8c6,Botryosphaeria dothidea,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,,Botryosphaeria,,,,,,Serbia,,,,,
153738,3346924787,,ASV:052f9086de68ab014ef7c5b0ab2ee391,Botrytis cinerea,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,,Botrytis,,,,,,Serbia,,,,,
401347,4127386346,,118132,Bovista plumbea,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,,Bovista,,species,,,,,,,45.4618887002,20.260411799,EPSG:4326
352639,4137809394,,1260395,Bovistella utriformis,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,,Lycoperdon,,species,,,,,,,43.9063104,19.5420979,EPSG:4326
335247,2028386816,1869,257089,Bryobilimbia hypnorum,Fungi,Ascomycota,Lecanoromycetes,Lecideales,Lecideaceae,,Bryobilimbia,,Species,,,,Serbia,,"Tatra, Eiserns Thor. [on border with Romania, ""Iron Gates""]",,,
350332,4145918674,,54319,Bryoria fuscescens,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,,Bryoria,,Species,,,,Serbia,,,,,
590160,3024598854,,,Buellia tergestina J. Steiner & Zahlbr.,Fungi,,,,,,,,,,,,YUG,,Litorale Austriacum: ad saxa arenaria in agro tergestino,44,21,WGS84
385048,3456543000,,506309,Buglossoporus quercinus,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,,Buglossoporus,,species,,,,,,,45.1662037958,19.9133724485,EPSG:4326
35416,3994226163,,83419,Bulgaria inquinans,Fungi,Ascomycota,Leotiomycetes,Phacidiales,Phacidiaceae,,Bulgaria,,species,,,,,,,45.1473720332,19.8403770117,EPSG:4326
32681,1671726463,,372726,Butyriboletus appendiculatus,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,,Butyriboletus,,species,,,,,,,42.9544967444,22.1871015429,EPSG:4326
397899,4091431463,,544549,Butyriboletus fuscoroseus,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,,Butyriboletus,,species,,,,,,,45.1607683,19.7112037997,EPSG:4326
3601,3915438847,,931615,Butyriboletus pseudoregius,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,,Butyriboletus,,species,,,,,,,45.1725713701,19.8029432818,EPSG:4326
607856,1802660141,,372725,Butyriboletus regius,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,,Butyriboletus,,species,,,,,,,43.2185627383,21.9844579697,EPSG:4326
349718,4046746895,,118073,Byssomerulius corium,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Irpicaceae,,Byssomerulius,,species,,,,,,,45.1504125543,19.896762368,EPSG:4326
32046,2028474902,,701434,Caloboletus calopus,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,,Caloboletus,,species,,,,,,,44.2919734818,20.5236079398,EPSG:4326
610632,1703191203,,507493,Caloboletus radicans,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,,Caloboletus,,species,,,,,,,44.655227,20.459967,EPSG:4326
335889,1677341329,,118027,Calocera cornea,Fungi,Basidiomycota,Dacrymycetes,Dacrymycetales,Dacrymycetaceae,,Calocera,,species,,,,,,,42.835379,21.816427,EPSG:4326
383440,2294462545,,63405,Calocera viscosa,Fungi,Basidiomycota,Dacrymycetes,Dacrymycetales,Dacrymycetaceae,,Calocera,,species,,,,,,,43.9100102839,19.423025578,EPSG:4326
31647,4102608807,,450829,Calocybe gambosa,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,,Calocybe,,species,,,,,,,45.1835522832,19.7528783573,EPSG:4326
588490,3903227366,,1433877,Calonarius elegantior,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,,Calonarius,,species,,,,,,,43.9317206997,19.3051408,EPSG:4326
161142,3456976059,,1438013,Calonarius prodigiosus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,,Calonarius,,species,,,,,,,44.3318613272,20.6011823352,EPSG:4326
588412,3947670529,,1433944,Calonarius splendens,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,,Calonarius,,species,,,,,,,45.1208061,19.7605781,EPSG:4326
24143,2436034468,1969,,Caloplaca,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,,Caloplaca,,genus,,,EUROPE,Serbia,,Dalmatia. Insula Korcula: Prope pagum Pupnat.,,,
604926,3024288587,,136297,"Caloplaca crenularia (With.) J. R. Laundon, 1984",Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,,Blastenia,,Species,,,,Serbia,,"Jugoslawien, Serbien: Vranje, Pljackovica NW der Stadt Vranje.",,,https://epsg.io/4326
390626,3758706598,1967,,Caloplaca ferruginea,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,,Caloplaca,,,,,Europe,Serbia,,"Jugoslavia. Zlatibor, in monte Tornik, secus viam inter Kokin Brod et Titova Užice.",,,
31479,1839227403,,153035,Caloscypha fulgens,Fungi,Ascomycota,Pezizomycetes,Pezizales,Caloscyphaceae,,Caloscypha,,species,,,,,,,43.9262982972,19.3722127005,EPSG:4326
